iter	RMSE
0	0.6030012843
1	0.6004575944
2	0.5979722931
3	0.5955596214
4	0.5934465403
5	0.5914697383
6	0.5894845993
7	0.5872704023
8	0.5850807802
9	0.5830084182
10	0.5809640015
11	0.5789822793
12	0.577168014
13	0.5752894712
14	0.5733328123
15	0.5713780238
16	0.5696016757
17	0.5679500955
18	0.5663649865
19	0.5647281499
20	0.5632114779
21	0.5617818387
22	0.5600712122
23	0.5586707858
24	0.5571943825
25	0.5559067748
26	0.554543893
27	0.5530828382
28	0.5516099843
29	0.5504033324
30	0.549118157
31	0.5479819178
32	0.5466861754
33	0.5453050097
34	0.5440537399
35	0.542755079
36	0.5416357244
37	0.5404162504
38	0.5392933401
39	0.5381508354
40	0.5370096973
41	0.535851828
42	0.5347425359
43	0.5337377518
44	0.5326961496
45	0.5317297239
46	0.5306443183
47	0.5296356066
48	0.5287345353
49	0.5277613142
50	0.5269219034
51	0.5259325701
52	0.525107695
53	0.524052795
54	0.5231486382
55	0.5223920268
56	0.5215287059
57	0.5206902812
58	0.5198338814
59	0.5191140643
60	0.5182696808
61	0.517435672
62	0.516715154
63	0.5159186957
64	0.5151996185
65	0.5145262545
66	0.5137232695
67	0.5130721003
68	0.5124098213
69	0.5118292661
70	0.5111376107
71	0.5104848229
72	0.5097971205
73	0.5091460845
74	0.5085316288
75	0.5079251201
76	0.507264414
77	0.506711345
78	0.5061500028
79	0.5055521599
80	0.5050626612
81	0.5045847957
82	0.5040469766
83	0.5035538595
84	0.5030170933
85	0.5024898934
86	0.5019885602
87	0.501494375
88	0.5009955144
89	0.500471284
90	0.5000251707
91	0.4995461072
92	0.499106599
93	0.498559082
94	0.4980275792
95	0.4975839501
96	0.4970979546
97	0.4966051409
98	0.4961280684
99	0.4956625369
100	0.4952418264
101	0.4948856329
102	0.4944979966
103	0.4940958112
104	0.4936759774
105	0.4933054456
106	0.4929239527
107	0.4926161272
108	0.4922918445
109	0.4920066198
110	0.4917172028
111	0.4914799523
112	0.4911249618
113	0.4908166232
114	0.4904478322
115	0.4902079675
116	0.4899959314
117	0.489681992
118	0.4894682226
119	0.4891954988
120	0.4889185332
121	0.4886109459
122	0.4882540526
123	0.4880003776
124	0.4876508966
125	0.4873747375
126	0.4870831414
127	0.4868421508
128	0.4865449979
129	0.4863037944
130	0.4860546145
131	0.4858061938
132	0.4855325023
133	0.4852298553
134	0.4850271965
135	0.4847643316
136	0.4845663578
137	0.4843063543
138	0.4840293135
139	0.4838508695
140	0.4836463261
141	0.4834294505
142	0.483224931
143	0.4829963326
144	0.4827775269
145	0.4825838963
146	0.4824056072
147	0.482172655
148	0.4819419061
149	0.4817167258
150	0.4814734967
151	0.4813201241
152	0.4811345393
153	0.4809580587
154	0.4807748581
155	0.4805896498
156	0.4804152597
157	0.4802251734
158	0.4800360826
159	0.4798559369
160	0.4796423384
161	0.4794500047
162	0.4793094074
163	0.4791109784
164	0.4789519909
165	0.4787435567
166	0.4785272763
167	0.4783816834
168	0.4782021921
169	0.4780092403
170	0.4778657641
171	0.4777114171
172	0.4775255016
173	0.4774020963
174	0.4772517186
175	0.4770895767
176	0.4769644013
177	0.4768233315
178	0.4766315899
179	0.476481541
180	0.4763509468
181	0.4762301076
182	0.4760992537
183	0.4758591921
184	0.4757135816
185	0.475572011
186	0.475425206
187	0.4753258965
188	0.4752128416
189	0.4749906561
190	0.4748803291
191	0.4747219648
192	0.474605978
193	0.4745051942
194	0.4743379209
195	0.4742323128
196	0.4740836471
197	0.4739575762
198	0.4737884117
199	0.4736700162
200	0.4735969828
201	0.4734677919
202	0.4733405256
203	0.4732048124
204	0.4730915407
205	0.4729794053
206	0.4729083112
207	0.4727893494
208	0.4726700048
209	0.4725548638
210	0.4724406699
211	0.4723219177
212	0.4721733265
213	0.4720550819
214	0.4719753684
215	0.4718703991
216	0.4717892965
217	0.4716777659
218	0.4715324097
219	0.4714275451
220	0.4712965226
221	0.471202394
222	0.4710956628
223	0.4710154271
224	0.4709348623
225	0.4708237586
226	0.4707195719
227	0.4706246405
228	0.4705416871
229	0.4703914925
230	0.4702743057
231	0.4701678574
232	0.4700685124
233	0.4699663509
234	0.4698702315
235	0.4697757617
236	0.4696405689
237	0.4695357587
238	0.469469778
239	0.4694039096
240	0.4693047039
241	0.4691954321
242	0.4690635168
243	0.4689850065
244	0.4688925281
245	0.4687595866
246	0.4685988687
247	0.4685437157
248	0.4684228742
249	0.4683257201
250	0.4682216429
251	0.4681270545
252	0.4680392729
253	0.4679604234
254	0.4678832488
255	0.467812178
256	0.4677229993
257	0.4676401597
258	0.46756025
259	0.4674639853
260	0.4673199408
261	0.4672590736
262	0.4671428085
263	0.4670943633
264	0.4670276186
265	0.4669265691
266	0.4668609018
267	0.4667454186
268	0.4666523065
269	0.4665478678
270	0.4664472654
271	0.4663693526
272	0.4662707408
273	0.4661899422
274	0.4661317868
275	0.4660019155
276	0.4659263416
277	0.4658328362
278	0.4657520771
279	0.4656804615
280	0.465601394
281	0.4655041985
282	0.4654200189
283	0.4652674184
284	0.4651488385
285	0.4650244698
286	0.4649207352
287	0.4648479359
288	0.4647668251
289	0.4646434423
290	0.4645889
291	0.4644877616
292	0.4643805289
293	0.4643383068
294	0.4642758251
295	0.4642120176
296	0.4641162012
297	0.4640669623
298	0.4640068698
299	0.4639184878
300	0.4637761008
301	0.4637066224
302	0.463590065
303	0.463503309
304	0.4634262109
305	0.4633383106
306	0.4632795475
307	0.4632168456
308	0.4631317304
309	0.4630306666
310	0.4629041218
311	0.4628424632
312	0.4627710339
313	0.4626899423
314	0.4625674911
315	0.4625098962
316	0.4624184199
317	0.4623455047
318	0.4622316521
319	0.4621541478
320	0.462011776
321	0.461958479
322	0.4619279783
323	0.461809906
324	0.4617047584
325	0.4616448028
326	0.4615688615
327	0.4615042039
328	0.4614433372
329	0.4613713137
330	0.4613248524
331	0.4612522565
332	0.4611426084
333	0.46107765
334	0.4609709908
335	0.4608863104
336	0.4608197122
337	0.4607738767
338	0.4607159531
339	0.4606293231
340	0.46054338
341	0.4604692281
342	0.4603368619
343	0.4602779081
344	0.460220595
345	0.460131901
346	0.4600764046
347	0.4599851411
348	0.4598844983
349	0.45982908
350	0.459758281
351	0.4597021065
352	0.4596076155
353	0.4594988933
354	0.4593733353
355	0.4592794575
356	0.459229494
357	0.4591367554
358	0.4590841463
359	0.4589740532
360	0.4588889997
361	0.4588273973
362	0.458764451
363	0.4586679124
364	0.4586108465
365	0.4585489239
366	0.4584953579
367	0.4584624547
368	0.458356086
369	0.4582316412
370	0.4581723318
371	0.4581206839
372	0.4580406606
373	0.457931818
374	0.4578627505
375	0.4577885977
376	0.4577391886
377	0.4576609649
378	0.45759594
379	0.4574772702
380	0.4574059892
381	0.4573399544
382	0.4572242687
383	0.4571483429
384	0.4570617788
385	0.4569836141
386	0.4569475484
387	0.4568607991
388	0.4567867353
389	0.4567062508
390	0.456646471
391	0.4565685621
392	0.4565385237
393	0.4564710258
394	0.4563955515
395	0.4562975579
396	0.4562009006
397	0.4561165503
398	0.4560818787
399	0.4559494392
400	0.4558999014
401	0.4558295063
402	0.4557553026
403	0.4556460122
404	0.4555808175
405	0.4554805133
406	0.4554056409
407	0.4552973526
408	0.4552447738
409	0.4552051916
410	0.4551100129
411	0.4550675733
412	0.4550147977
413	0.4549658418
414	0.4549240634
415	0.4548654677
416	0.4548006779
417	0.4547009069
418	0.4546492986
419	0.4545460034
420	0.4544466083
421	0.4543755362
