iter	Passed	Remaining
0	120	158560
1	210	137918
2	299	130753
3	388	127172
4	510	133485
5	616	134129
6	714	133162
7	804	131087
8	896	129753
9	991	129034
10	1083	128152
11	1177	127518
12	1265	126481
13	1356	125802
14	1462	126493
15	1584	128368
16	1675	127670
17	1766	126975
18	1859	126510
19	1951	126036
20	2046	125841
21	2140	125496
22	2231	125057
23	2324	124721
24	2421	124672
25	2512	124259
26	2606	124068
27	2698	123735
28	2789	123390
29	2893	123640
30	3016	124655
31	3112	124492
32	3204	124198
33	3300	124047
34	3395	123880
35	3489	123674
36	3581	123406
37	3674	123202
38	3766	122953
39	3861	122783
40	3953	122570
41	4047	122392
42	4141	122217
43	4233	121987
44	4329	121890
45	4450	122493
46	4540	122210
47	4630	121943
48	4720	121680
49	4810	121411
50	4902	121227
51	4994	121013
52	5085	120810
53	5176	120585
54	5268	120399
55	5359	120197
56	5453	120066
57	5545	119887
58	5634	119658
59	5728	119526
60	5842	119824
61	5959	120145
62	6053	120008
63	6149	119917
64	6240	119730
65	6333	119574
66	6429	119480
67	6520	119278
68	6614	119161
69	6705	118975
70	6795	118776
71	6886	118596
72	6978	118439
73	7072	118320
74	7167	118221
75	7261	118093
76	7357	118013
77	7489	118481
78	7578	118279
79	7670	118120
80	7761	117953
81	7851	117770
82	7947	117680
83	8042	117571
84	8138	117484
85	8231	117340
86	8324	117210
87	8421	117129
88	8513	116993
89	8606	116853
90	8697	116699
91	8795	116638
92	8919	116910
93	9007	116714
94	9101	116597
95	9201	116546
96	9292	116395
97	9383	116245
98	9475	116095
99	9567	115956
100	9658	115802
101	9747	115626
102	9838	115487
103	9932	115366
104	10020	115191
105	10111	115044
106	10214	115030
107	10335	115220
108	10424	115056
109	10518	114943
110	10612	114828
111	10704	114693
112	10797	114571
113	10888	114424
114	10981	114301
115	11072	114161
116	11164	114032
117	11256	113903
118	11347	113756
119	11439	113630
120	11531	113501
121	11623	113375
122	11724	113337
123	11853	113563
124	11947	113451
125	12037	113303
126	12131	113193
127	12226	113097
128	12316	112951
129	12409	112832
130	12502	112717
131	12595	112599
132	12686	112460
133	12776	112322
134	12868	112190
135	12957	112046
136	13047	111907
137	13150	111875
138	13290	112159
139	13381	112018
140	13470	111870
141	13558	111714
142	13651	111601
143	13739	111440
144	13831	111317
145	13919	111168
146	14010	111033
147	14104	110929
148	14194	110796
149	14289	110695
150	14382	110580
151	14471	110439
152	14564	110325
153	14679	110384
154	14770	110256
155	14860	110118
156	14950	109985
157	15043	109876
158	15135	109753
159	15225	109620
160	15318	109513
161	15409	109386
162	15500	109264
163	15590	109130
164	15681	109007
165	15774	108903
166	15865	108777
167	15958	108666
168	16080	108757
169	16172	108638
170	16261	108505
171	16355	108401
172	16445	108273
173	16536	108152
174	16628	108034
175	16719	107914
176	16809	107789
177	16900	107670
178	16990	107542
179	17082	107431
180	17174	107319
181	17289	107345
182	17403	107369
183	17560	107653
184	17665	107616
185	17770	107581
186	17864	107471
187	17957	107360
188	18048	107242
189	18143	107143
190	18235	107027
191	18335	106956
192	18433	106875
193	18526	106767
194	18616	106640
195	18708	106526
196	18801	106412
197	18894	106303
198	19015	106354
199	19107	106235
200	19199	106121
201	19290	105999
202	19386	105908
203	19482	105816
204	19573	105697
205	19667	105593
206	19762	105496
207	19856	105394
208	19946	105269
209	20041	105167
210	20134	105063
211	20228	104959
212	20328	104887
213	20447	104914
214	20539	104798
215	20633	104697
216	20727	104594
217	20825	104508
218	20916	104389
