,model_name,fold_1,fold_2,fold_3,mean_rmsle,rmsle_std
10,catboost_feature_set_4_100,0.4640422851480065,0.4743081035869567,0.4366417638779767,0.4583307175376467,0.0194718974471892
3,catboost_feature_set_3_150,0.465632700179323,0.4744309790116814,0.4355854670326426,0.4585497154078823,0.020368356712871
8,catboost_feature_set_2_200,0.4660290226415377,0.4766677134051997,0.4348606199750769,0.4591857853406048,0.0217274178823994
3,catboost_eng,0.4666759488741285,0.4751948210384233,0.4366726737940671,0.4595144812355397,0.0202349677818592
1,catboost_feature_set_1_250,0.4655760964781883,0.4773635233861027,0.4370778728997628,0.4600058309213513,0.0207124190416558
6,catboost_feature_set_0_300,0.4660587207729546,0.4757015601383082,0.4392419042020039,0.4603340617044222,0.0188919405788981
0,catboost_baseline,0.4692238439259898,0.4772623060719653,0.4390193582477538,0.4618351694152363,0.0201637086826985
4,lightgbm_feature_set_4_100,0.4753251207302151,0.4801091103613736,0.445948768401963,0.4671276664978506,0.0184967816826265
4,lightgbm_eng,0.4755947805124116,0.4821972981746817,0.4445568717420003,0.4674496501430312,0.0200987011286594
14,lightgbm_feature_set_3_150,0.4742746647647948,0.4838786035174725,0.4447783063539084,0.4676438582120585,0.0203760645421193
1,lightgbm_feature_set_1_250,0.4753637844116408,0.4818241605370411,0.4457555431809509,0.4676478293765442,0.0192324793272406
0,lightgbm_feature_set_0_300,0.4756191034799945,0.4832073939782977,0.444582130415003,0.467802875957765,0.0204645499789987
13,lightgbm_feature_set_2_200,0.475976589934994,0.4825221878623377,0.4458549575848372,0.4681179117940563,0.0195560875598354
1,lightgbm_baseline,0.4745708580830473,0.484131915808885,0.4467585569119719,0.468487110267968,0.0194152254536865
4,xgboost_feature_set_4_100,0.4805324402250822,0.4803486074371712,0.448661933182101,0.4698476602814515,0.0183476081048618
3,xgboost_feature_set_3_150,0.4800545835118938,0.4862285091826216,0.4521974759936544,0.4728268562293899,0.0181303016033885
2,xgboost_feature_set_2_200,0.4800809016748007,0.486958194947385,0.4520518954072557,0.4730303306764805,0.0184904123925907
1,xgboost_feature_set_1_250,0.4814217759141624,0.4858290381331696,0.4526359824546463,0.4732955988339928,0.0180269465460208
0,xgboost_feature_set_0_300,0.4818792737619913,0.4901955257492197,0.450917802599177,0.4743308673701293,0.0206982780263329
5,xgboost_eng,0.4811799754334653,0.4879388197505614,0.4550026687953813,0.4747071546598027,0.0173959928291423
2,xgboost_baseline,0.4829010228479985,0.4916916187982492,0.4554772411111183,0.476689960919122,0.0188892364993875
