iter	RMSE
0	0.5975496952
1	0.5901370849
2	0.5834272909
3	0.576825048
4	0.570871095
5	0.5654644295
6	0.5605552462
7	0.5563483885
8	0.5518202475
9	0.5478728838
10	0.543992356
11	0.5403782315
12	0.5370082554
13	0.5341049285
14	0.5312311676
15	0.5286980129
16	0.5264103834
17	0.5240646619
18	0.5220927972
19	0.5201453413
20	0.5184037226
21	0.5165843654
22	0.514886388
23	0.5133570223
24	0.5118471687
25	0.5103941741
26	0.5089611578
27	0.5078866973
28	0.5066788103
29	0.5056123618
30	0.5046378512
31	0.5037185473
32	0.5028507195
33	0.5015902235
34	0.5008273923
35	0.5000734372
36	0.4993644981
37	0.4985465688
38	0.4980035256
39	0.4973162314
40	0.4966991047
41	0.4959705578
42	0.4954850483
43	0.4949468565
44	0.4944072786
45	0.4939281252
46	0.4933229595
47	0.4929553315
48	0.4924657578
49	0.4920715299
50	0.4914959395
51	0.4909672884
52	0.4906021561
53	0.4902767463
54	0.4898459539
55	0.489235119
56	0.4887144086
57	0.4884458656
58	0.4880849121
59	0.4878058081
60	0.4874845086
61	0.4871976727
62	0.4868570308
63	0.4865026565
64	0.486148295
65	0.4858377906
66	0.4856043823
67	0.4853744474
68	0.4851428363
69	0.4848666269
70	0.4845723155
71	0.4843435755
72	0.4841062283
73	0.483926699
74	0.4837445352
75	0.48336144
76	0.4830792917
77	0.4828732185
78	0.4826432894
79	0.4823959948
80	0.482186999
81	0.4820143673
82	0.4817885023
83	0.4815587881
84	0.4814008439
85	0.4812158529
86	0.4809799987
87	0.4807618069
88	0.4805764228
89	0.4803874963
90	0.4802126656
91	0.4800324866
92	0.4798853685
93	0.4796254005
94	0.4793524517
95	0.4792147128
96	0.4789084673
97	0.4786783144
98	0.4785684727
99	0.4784308621
100	0.47823562
101	0.4781176788
102	0.4780097496
103	0.4778648805
104	0.477612754
105	0.4773609216
106	0.477181444
107	0.477017944
108	0.4768266975
109	0.4766749548
110	0.4765484238
111	0.4762878281
112	0.4758964513
113	0.4757812636
114	0.475696098
115	0.4755715886
116	0.4754293154
117	0.4753016653
118	0.4752006892
119	0.4750765693
120	0.4748855018
121	0.4747636396
122	0.4746567262
123	0.4745235207
124	0.4744097309
125	0.4742682777
126	0.4741294126
127	0.4740467037
128	0.473959891
129	0.4738629901
130	0.4737420618
131	0.4735548164
132	0.4734093555
133	0.4732601305
134	0.472986553
135	0.472826756
136	0.4727460296
137	0.4725968487
138	0.4725096504
139	0.4723298992
140	0.4721631524
141	0.4720857424
142	0.4720030846
143	0.4717368109
144	0.4715601155
145	0.4714093243
146	0.4713543267
147	0.4710592288
148	0.4709698359
149	0.4708921715
150	0.470857798
151	0.4707151663
152	0.4706148355
153	0.4704871834
154	0.4704051598
155	0.4703016535
156	0.4701186669
157	0.4700389728
158	0.4698794283
159	0.4697061097
160	0.4695294354
161	0.4693828452
162	0.4692458015
163	0.469117986
164	0.4688916373
165	0.4687936051
166	0.4685980147
167	0.4684399748
168	0.4683459728
169	0.4682179747
170	0.4681475593
171	0.4679678176
172	0.4678106276
173	0.4677327575
174	0.4676437158
175	0.467625953
176	0.4675660137
177	0.4674953796
178	0.4673451875
179	0.4672505418
180	0.4671346127
181	0.4670109436
182	0.4667772724
183	0.4667217715
184	0.4666040366
185	0.4663887846
186	0.4662959008
187	0.4661092472
188	0.4659482342
189	0.4658076916
190	0.4656875538
191	0.4655005758
192	0.4652446979
193	0.4651069033
194	0.4649702052
195	0.4648120879
196	0.4646650041
197	0.4645728211
198	0.4645397183
199	0.4644300835
200	0.4642341259
201	0.4640353148
202	0.4639279215
203	0.4637306313
204	0.463608419
205	0.4635337376
206	0.4633115969
207	0.4632288746
208	0.4631148466
209	0.4630039444
210	0.4628672309
211	0.4627725224
212	0.4626693229
213	0.4625760518
214	0.4624510421
215	0.4623233599
216	0.4621962456
217	0.4620921146
218	0.46200115
219	0.4618112661
220	0.4616904715
221	0.4615247014
222	0.4613487967
223	0.4612347923
224	0.4610822774
225	0.4609923694
226	0.4608673671
227	0.4607245708
228	0.4605725029
229	0.4604340516
230	0.4602648688
231	0.4601466449
232	0.4599136224
233	0.459749158
234	0.459690627
235	0.4595906544
236	0.4594883587
237	0.4594061965
238	0.4592707075
239	0.4591697315
240	0.4589938518
241	0.4588576729
242	0.4587677448
243	0.4586247951
244	0.4583739259
245	0.4580907014
246	0.4579327065
247	0.4577819096
248	0.4576584436
249	0.4575084074
250	0.4573637903
251	0.4572799969
252	0.4570631066
253	0.4569522103
254	0.4568751639
255	0.4567294993
256	0.4566977606
257	0.4565577509
258	0.4564584091
259	0.4563399612
260	0.4561883302
261	0.4560793334
262	0.4560474185
263	0.4558899538
264	0.4556648331
265	0.4554580168
266	0.4552810631
267	0.4550994655
268	0.4549574186
269	0.4548905257
270	0.454851149
271	0.454829189
272	0.4546340413
273	0.4544612024
274	0.4543060533
275	0.4542571192
276	0.4540517459
277	0.4538958569
278	0.4538724274
279	0.4537395956
280	0.4535309875
281	0.4533117185
282	0.4532227272
283	0.4531290051
284	0.4529924334
285	0.4528631014
286	0.4527319968
287	0.4527048386
288	0.4525794095
289	0.4523880254
290	0.4523670282
291	0.4522513608
292	0.4522264666
293	0.4520790128
294	0.4519617036
295	0.4518354004
296	0.4517345618
297	0.45171402
298	0.4515494107
299	0.4514135425
300	0.4513222668
301	0.4512083327
302	0.4510302642
303	0.450903849
304	0.4507581889
305	0.450674937
306	0.4505105349
307	0.4503849096
308	0.4502112604
309	0.4501937188
310	0.4500882113
311	0.4499590648
312	0.4498669949
313	0.4497565563
314	0.449728403
315	0.4495819927
316	0.4494382977
317	0.4492290208
318	0.4490690255
319	0.4489694853
320	0.4488503594
321	0.4486593402
322	0.4485346679
323	0.4484442265
324	0.4483309113
325	0.4483102253
326	0.4482457224
327	0.4481786265
328	0.4481564157
329	0.4480397014
330	0.4479283569
331	0.447735479
332	0.4476310382
333	0.4474836912
334	0.4472923621
335	0.4471547212
336	0.4470613553
337	0.4469583989
338	0.446942603
339	0.4468602013
340	0.4467074646
341	0.4466255871
342	0.4464806946
343	0.4463099843
344	0.4461511686
345	0.445985517
346	0.445877216
347	0.4458605775
348	0.4457950319
349	0.4456340962
350	0.4454959803
351	0.4454384191
352	0.4454129573
353	0.4452785066
354	0.4451813249
355	0.445168817
356	0.4450078176
357	0.4449897507
358	0.4448439977
359	0.4447219322
360	0.4447009058
361	0.4446607269
362	0.444515692
363	0.444364042
364	0.4442585369
365	0.4441330254
366	0.444041378
367	0.4439574435
368	0.4438384114
369	0.4437478445
370	0.4436340596
371	0.4435170403
