iter	RMSE
0	4574778.886
1	4389335.123
2	4223195.017
3	4077460.584
4	3939773.134
5	3816706.551
6	3703328.222
7	3604348.198
8	3515269.746
9	3437000.149
10	3362809.37
11	3301684.846
12	3245366.333
13	3193980.802
14	3148736.934
15	3107986.744
16	3069038.628
17	3032622.839
18	3000686.211
19	2973402.602
20	2949105.769
21	2928763.796
22	2904996.686
23	2885707.57
24	2866705.721
25	2847054.459
26	2830785.512
27	2814590.772
28	2799369.564
29	2786306.833
30	2773259.123
31	2760355.648
32	2750237.823
33	2739512.73
34	2729867.691
35	2717447.638
36	2707049.426
37	2691878.485
38	2685667.782
39	2674553.617
40	2667419.301
41	2661308.634
42	2655062.139
43	2641766.316
44	2637390.989
45	2630726.856
46	2623084.119
47	2617190.827
48	2611647.584
49	2606784.878
50	2600062.484
51	2595454.709
52	2591093.94
53	2583982.908
54	2580278.202
55	2576487.671
56	2572215.232
57	2568120.405
58	2565128.828
59	2563454.314
60	2560693.023
61	2556115.855
62	2553949.646
63	2548163.288
64	2545394.784
65	2542316.77
66	2538319.99
67	2536624.114
68	2532471.908
69	2528713.37
70	2525197.15
71	2521569.345
72	2518186.303
73	2517330.876
74	2515195.928
75	2512795.906
76	2510259.621
77	2506608.707
78	2502443.452
79	2499992.953
80	2496489.739
81	2494699.99
82	2492614.703
83	2490254.214
84	2487683.33
85	2486205.026
86	2483898.285
87	2483334.091
88	2480395.417
89	2477957.122
90	2476672.636
91	2471255.101
92	2470137.204
93	2467741.953
94	2464000.053
95	2461563.431
96	2459509.621
97	2456022.276
98	2453400.045
99	2453052.692
100	2452858.045
101	2450805.613
102	2445635.049
103	2441753.153
104	2437625.545
105	2432839.865
106	2430524.046
107	2427245.33
108	2424622.95
109	2424410.712
110	2420661.552
111	2419636.895
112	2415257.936
113	2412684.184
114	2411108.228
115	2409170.467
116	2404520.849
117	2403047.331
118	2400930.487
119	2399566.988
120	2398192.291
121	2396346.676
122	2394276.487
123	2390674.611
124	2388492.645
125	2386952.899
126	2384620.769
127	2382111.11
128	2378448.864
129	2376666.253
130	2374590.541
131	2372262.211
132	2370634.966
133	2367690.743
134	2364231.156
135	2362901.598
136	2361560.794
137	2359925.317
138	2358047.164
139	2355046.151
140	2354062.238
141	2350700.628
142	2347986.645
143	2345346.934
144	2343502.454
145	2343135.181
146	2340474.007
147	2337366.902
148	2337133.741
149	2334262.428
150	2330922.248
151	2328406.641
152	2325901.924
153	2324322.258
154	2319901.276
155	2317398.277
156	2315800.588
157	2313422.216
158	2310460.042
159	2310171.808
160	2306040.226
161	2304878.734
162	2303251.325
163	2301829.315
164	2301587.967
165	2296047.964
166	2295811.727
167	2295646.545
168	2293877.624
169	2293656.934
170	2292483.926
171	2289552.476
172	2287349.971
173	2284850.285
174	2282024.097
175	2281762.117
176	2279038.805
177	2277016.45
178	2274972.16
179	2273074.269
180	2269168.19
181	2267373.497
182	2267178.184
183	2265989.71
184	2263728.723
185	2263608.381
186	2260748.818
187	2259253.606
188	2257094.306
189	2256927.498
190	2254549.523
191	2253936.422
192	2252869.403
193	2252690.422
194	2250051.2
195	2248344.576
196	2247183.409
197	2245603.304
198	2243483.556
199	2241665.274
200	2239283.767
201	2236735.116
202	2234873.841
203	2233045.794
204	2232879.285
205	2230932.979
206	2228664.919
207	2226963.364
208	2224024.268
209	2222171.477
210	2221703.055
211	2221587.372
212	2219658.201
213	2218804.064
214	2217529.075
215	2216329.942
216	2215162.18
217	2215064.772
218	2213169.855
219	2211933.443
220	2210715.676
221	2210607.521
222	2209031.01
223	2207140.921
224	2205371.282
225	2205215.3
226	2202077.66
227	2199899.324
228	2197929.788
229	2197112.695
230	2195556.707
231	2193712.767
232	2192553.451
233	2191276.963
234	2188771.32
235	2188601.48
236	2186374.901
237	2184903.059
238	2182631.198
