iter	Passed	Remaining
0	59	59650
1	114	57189
2	167	55643
3	220	54782
4	275	54888
5	329	54597
6	385	54667
7	438	54339
8	500	55140
9	557	55158
10	612	55050
11	667	54953
12	728	55294
13	783	55170
14	838	55069
15	897	55222
16	955	55242
17	1011	55163
18	1069	55215
19	1140	55904
20	1196	55760
21	1250	55571
22	1314	55851
23	1378	56076
24	1432	55857
25	1486	55691
26	1543	55621
27	1596	55418
28	1648	55189
29	1702	55059
30	1757	54945
31	1810	54778
32	1864	54637
33	1921	54604
34	1987	54794
35	2042	54692
36	2105	54791
37	2169	54916
38	2232	55007
39	2284	54826
40	2338	54695
41	2392	54575
42	2448	54486
43	2502	54374
44	2556	54246
45	2609	54127
46	2660	53941
47	2713	53817
48	2769	53755
49	2824	53661
50	2874	53493
51	2926	53357
52	2979	53230
53	3035	53185
54	3099	53258
55	3155	53193
56	3214	53187
57	3287	53397
58	3338	53248
59	3394	53173
60	3447	53069
61	3500	52956
62	3558	52930
63	3614	52854
64	3667	52751
65	3721	52664
66	3773	52551
67	3829	52481
68	3879	52347
69	3933	52261
70	3988	52181
71	4044	52132
72	4096	52021
73	4150	51931
74	4205	51868
75	4262	51818
76	4336	51983
77	4391	51907
78	4445	51827
79	4499	51745
80	4552	51649
81	4606	51567
82	4657	51455
83	4711	51381
84	4767	51316
85	4819	51224
86	4874	51153
87	4926	51057
88	4983	51009
89	5038	50941
90	5092	50870
91	5146	50790
92	5201	50728
93	5252	50622
94	5318	50661
95	5393	50787
96	5446	50706
97	5498	50611
98	5555	50556
99	5611	50500
100	5663	50410
101	5714	50311
102	5771	50262
103	5825	50191
104	5896	50258
105	5949	50178
106	6003	50100
107	6056	50026
108	6111	49956
109	6162	49856
110	6216	49791
111	6274	49746
112	6328	49678
113	6396	49709
114	6485	49912
115	6546	49886
116	6603	49833
117	6658	49773
118	6713	49704
119	6767	49628
120	6822	49564
121	6876	49487
122	6930	49415
123	6982	49326
124	7037	49264
125	7091	49193
126	7145	49116
127	7199	49048
128	7255	48985
129	7310	48921
130	7362	48837
131	7413	48751
132	7476	48740
133	7540	48733
134	7593	48652
135	7650	48605
136	7703	48526
137	7758	48459
138	7815	48408
139	7867	48331
140	7922	48266
141	7977	48199
142	8035	48153
143	8094	48116
144	8150	48060
145	8205	47995
146	8257	47917
147	8312	47855
148	8365	47780
149	8428	47763
150	8485	47710
151	8537	47630
152	8610	47665
153	8665	47605
154	8720	47538
155	8774	47471
156	8831	47419
157	8883	47340
158	8937	47271
159	8989	47196
160	9052	47172
161	9103	47090
162	9158	47026
163	9213	46965
164	9267	46898
165	9324	46844
166	9378	46780
167	9434	46720
168	9487	46650
169	9541	46586
170	9608	46579
171	9672	46565
172	9727	46499
173	9779	46425
174	9830	46343
175	9882	46266
176	9935	46199
177	9986	46119
178	10039	46048
179	10096	45993
180	10156	45956
181	10210	45890
182	10260	45807
183	10312	45734
184	10366	45670
185	10417	45592
186	10471	45524
187	10523	45450
188	10579	45398
189	10636	45344
190	10715	45385
191	10771	45332
192	10824	45262
193	10877	45193
194	10930	45123
195	10984	45059
196	11041	45008
197	11093	44935
198	11157	44908
199	11219	44877
200	11272	44807
201	11327	44748
202	11382	44690
203	11435	44620
204	11488	44551
205	11540	44479
206	11605	44458
207	11669	44435
208	11737	44420
209	11809	44427
210	11860	44349
211	11914	44287
212	11967	44216
213	12022	44158
214	12075	44088
215	12129	44024
216	12184	43965
217	12235	43891
218	12313	43912
219	12373	43871
220	12429	43811
221	12483	43747
222	12539	43689
223	12593	43627
224	12647	43563
225	12703	43507
226	12755	43436
227	12810	43375
228	12875	43349
229	12929	43286
230	12985	43227
231	13038	43163
232	13089	43088
233	13144	43027
234	13200	42972
235	13254	42908
236	13309	42849
237	13360	42777
238	13416	42717
239	13472	42662
240	13525	42597
241	13581	42539
242	13635	42477
243	13700	42448
244	13755	42387
245	13802	42306
246	13866	42272
247	13932	42246
248	13983	42176
249	14040	42122
250	14095	42061
251	14150	42000
252	14201	41932
253	14254	41865
254	14308	41803
255	14363	41744
256	14412	41667
257	14465	41602
258	14514	41525
259	14568	41465
260	14633	41433
261	14685	41364
262	14737	41297
263	14793	41242
264	14848	41182
265	14914	41154
266	14987	41144
267	15039	41076
268	15093	41017
269	15146	40952
270	15199	40887
271	15254	40827
272	15310	40771
273	15362	40704
274	15416	40644
275	15471	40583
276	15521	40513
277	15576	40454
278	15636	40409
279	15690	40347
280	15747	40294
281	15800	40230
282	15856	40172
283	15912	40117
284	15966	40056
285	16039	40043
286	16095	39986
287	16150	39928
288	16203	39865
289	16266	39825
290	16322	39769
291	16374	39701
292	16426	39636
293	16487	39592
294	16543	39535
295	16596	39472
296	16651	39413
297	16705	39352
298	16760	39295
299	16816	39237
300	16873	39184
301	16925	39118
302	16976	39051
303	17036	39004
304	17101	38969
305	17153	38902
306	17203	38832
307	17258	38774
308	17312	38715
309	17368	38659
310	17424	38601
311	17480	38547
312	17541	38502
313	17601	38455
314	17657	38398
315	17716	38349
316	17777	38303
317	17834	38248
318	17885	38181
319	17938	38119
320	17994	38063
321	18050	38007
322	18121	37982
323	18196	37964
324	18251	37907
325	18304	37844
326	18365	37797
327	18421	37742
328	18469	37669
329	18527	37616
330	18580	37553
331	18633	37490
332	18687	37431
333	18744	37377
334	18800	37320
335	18853	37258
336	18907	37197
337	18959	37132
338	19015	37078
339	19070	37019
340	19121	36953
341	19185	36913
342	19248	36869
343	19302	36809
344	19359	36755
345	19415	36698
346	19468	36636
347	19520	36573
348	19573	36510
349	19628	36453
350	19683	36395
351	19735	36331
352	19799	36290
353	19853	36230
354	19905	36167
355	19961	36110
356	20013	36046
357	20063	35980
358	20114	35915
359	20168	35855
360	20240	35826
361	20303	35784
362	20361	35731
363	20415	35670
364	20469	35610
365	20525	35555
366	20577	35492
367	20630	35429
368	20686	35373
369	20739	35313
370	20792	35252
371	20843	35187
372	20904	35140
373	20957	35078
374	21015	35026
375	21069	34966
376	21134	34924
377	21190	34869
378	21244	34809
379	21305	34761
380	21391	34754
381	21443	34691
382	21498	34634
383	21553	34575
384	21608	34517
385	21661	34457
386	21716	34399
387	21776	34347
388	21829	34287
389	21883	34227
390	21939	34171
391	21993	34113
392	22049	34055
393	22103	33997
394	22158	33938
395	22211	33878
396	22268	33822
397	22322	33764
398	22389	33724
399	22468	33702
400	22521	33641
401	22574	33580
402	22628	33522
403	22683	33463
404	22735	33401
405	22784	33335
406	22837	33274
407	22890	33214
408	22944	33154
409	22997	33093
410	23053	33037
411	23108	32980
412	23161	32919
413	23217	32863
414	23273	32807
415	23325	32745
416	23381	32689
417	23440	32637
418	23506	32594
419	23562	32538
420	23617	32480
421	23668	32418
422	23720	32355
423	23778	32302
424	23835	32248
425	23887	32186
426	23939	32125
427	23994	32067
428	24050	32011
429	24105	31953
430	24159	31895
431	24211	31833
432	24263	31771
433	24316	31712
434	24371	31654
435	24426	31597
436	24486	31547
437	24550	31501
438	24604	31441
439	24657	31382
440	24712	31325
441	24768	31269
442	24825	31214
443	24879	31154
444	24933	31096
445	24984	31035
446	25039	30977
447	25097	30924
448	25149	30862
449	25202	30803
450	25254	30742
451	25310	30685
452	25362	30625
453	25415	30565
454	25471	30510
455	25527	30453
456	25590	30405
457	25643	30346
458	25695	30286
459	25752	30231
460	25803	30169
461	25860	30114
462	25916	30058
463	25970	30000
464	26023	29940
465	26078	29883
466	26150	29846
467	26204	29788
468	26256	29727
469	26308	29667
470	26363	29610
471	26421	29556
472	26488	29512
473	26543	29455
474	26609	29410
475	26674	29364
476	26729	29307
477	26785	29250
478	26842	29196
479	26893	29134
480	26948	29077
481	27000	29016
482	27050	28954
483	27111	28903
484	27168	28848
485	27222	28790
486	27281	28737
487	27337	28681
488	27395	28627
489	27449	28569
490	27506	28514
491	27562	28459
492	27623	28408
493	27681	28354
494	27759	28319
495	27817	28265
496	27870	28207
497	27925	28150
498	27978	28090
499	28034	28034
