iter	RMSE
0	4571422.306
1	4380862.332
2	4215741.517
3	4066431.462
4	3930581.159
5	3810525.313
6	3701687.195
7	3603246.21
8	3511658.185
9	3433364.744
10	3362241.173
11	3300237.768
12	3246956.702
13	3195985.193
14	3156816.223
15	3116520.657
16	3078407.323
17	3047637.192
18	3019164.498
19	2992212.578
20	2967603.587
21	2943070.229
22	2921382.96
23	2900695.359
24	2882401.384
25	2863946.304
26	2847418.381
27	2833799.956
28	2820076.667
29	2804743.924
30	2787508.03
31	2773827.483
32	2759400.77
33	2748350.928
34	2733934.959
35	2724741.627
36	2716934.491
37	2706395.376
38	2696273.552
39	2687852.583
40	2680802.157
41	2672408.348
42	2664721.386
43	2660036.705
44	2653608.744
45	2644933.285
46	2640934.307
47	2635821.588
48	2630703.944
49	2622498.114
50	2617567.003
51	2611427.443
52	2605496.009
53	2599812.027
54	2594592.197
55	2587048.291
56	2580725.846
57	2578263.043
58	2573145.47
59	2567764.009
60	2563184.348
61	2560315.876
62	2556318.658
63	2550927.699
64	2547157.032
65	2543712.017
66	2540334.44
67	2537541.241
68	2534287.192
69	2531167.272
70	2527642.506
71	2524171.221
72	2520254.74
73	2515302.598
74	2510531.677
75	2506867.42
76	2503178.731
77	2500365.445
78	2497731.056
79	2493643.285
80	2491848.348
81	2487823.378
82	2483399.708
83	2481036.95
84	2478744.644
85	2476943.343
86	2474421.416
87	2471454.148
88	2468861.58
89	2465947.494
90	2462375.833
91	2458509.182
92	2455757.033
93	2452014.258
94	2450970.908
95	2448606.688
96	2446791.789
97	2444158.237
98	2442142.282
99	2439127.362
100	2436981.488
101	2433567.763
102	2431985.356
103	2428329.16
104	2424112.628
105	2422384.257
106	2419850.691
107	2417011.307
108	2414319.666
109	2411532.693
110	2408314.336
111	2405009.642
112	2401631.294
113	2400037.789
114	2398653.964
115	2396818.243
116	2394916.615
117	2392578.257
118	2388826.142
119	2385310.9
120	2383369.391
121	2380328.936
122	2377070.61
123	2375446.902
124	2372247.077
125	2371087.537
126	2368166.802
127	2365970.612
128	2363613.476
129	2361077.653
130	2358657.221
131	2358043.436
132	2356637.506
133	2353057.301
134	2349471.086
135	2349126.772
136	2346352.726
137	2343583.822
138	2340438.863
139	2339182.915
140	2336214.422
141	2332976.286
142	2331514.129
143	2329329.2
144	2327733.379
145	2326363.031
146	2322568.126
147	2320215.586
148	2318948.816
149	2316191.851
150	2313388.978
151	2311931.669
152	2311382.087
153	2308762.187
154	2306566.274
155	2305742.115
156	2302699.479
157	2300144.731
158	2298650.301
159	2296295.701
160	2295495.332
161	2292669.874
162	2289112.576
163	2286436.643
164	2284242.549
165	2281844.301
166	2279034.666
167	2277743.024
168	2275939.183
169	2272565.061
170	2271105.597
171	2268663.064
172	2267940.352
173	2266309.224
174	2263503.556
175	2260470.477
176	2258300.707
177	2256951.22
178	2254920.456
179	2252851.952
180	2251480.639
181	2248003.548
182	2246834.637
183	2244704.115
184	2243030.926
185	2238868.304
186	2237064.197
187	2235970.954
188	2235546.959
189	2234216.787
190	2233553.199
191	2231033.546
192	2229132.38
193	2226918.703
194	2225761.065
195	2223971.665
196	2222919.624
197	2221670.949
198	2219579.389
199	2217441.612
200	2215088.329
201	2214501.817
202	2211993.996
203	2208743.872
204	2207445.655
205	2206491.475
206	2206253.082
207	2204263.528
208	2202923.897
209	2200002.053
210	2199090.847
211	2197201.63
212	2195027.224
213	2192590.13
214	2191272.841
215	2190825.469
216	2189493.939
217	2187782.159
218	2184437.867
219	2184087.78
220	2182806.998
221	2182700.968
222	2181337.763
223	2179429.877
224	2177479.583
225	2176417.616
226	2176299.751
227	2175410.056
228	2174725.965
229	2173628.235
230	2172956.877
231	2171621.152
232	2169422.733
233	2167534.987
234	2165572.069
235	2163802.733
236	2162081.138
237	2160010.879
238	2158769.12
239	2157572.728
240	2155897.807
241	2155132.309
242	2153513.15
243	2151745.587
244	2149581.229
245	2148345.026
246	2148287.086
247	2146728.606
248	2145112.252
249	2143789.987
250	2141470.884
251	2141406.905
252	2140381.415
253	2138846.43
254	2136784.311
255	2135271.759
256	2133256.65
257	2132101.591
258	2131616.6
259	2130060.193
260	2128832.404
261	2128120.315
262	2127115.518
263	2125247.074
264	2123944.768
265	2122428.136
266	2122086.218
267	2121210.779
268	2120996.019
269	2118988.055
270	2117970.359
271	2116167.351
272	2114899.374
273	2113620.504
274	2112328.651
275	2111355.014
276	2109747.063
277	2108778.75
278	2106793.65
279	2105053.186
280	2103764.554
281	2103127.288
282	2101589.843
283	2100518.421
284	2099454.846
285	2099387.336
286	2098034.28
287	2096589.119
288	2095265.022
289	2094236.722
290	2092892.327
291	2091520.804
292	2089953.311
293	2088157.178
294	2086633.384
295	2085486.653
296	2083938.618
297	2083299.565
298	2081419.098
299	2080148.753
300	2078816.938
301	2076726.797
302	2075311.763
303	2073673.292
304	2073192.726
305	2072205.725
306	2070488.002
307	2069237.508
308	2067862.016
309	2066578.972
310	2065543.239
311	2064517.922
312	2062517.705
313	2061814.164
314	2060711.901
315	2059727.546
316	2059312.087
317	2058299.422
318	2056739.489
319	2054770.864
320	2053780.095
321	2052534.391
322	2052123.61
323	2050513.3
324	2049403.299
325	2048808.274
326	2047691.707
327	2046131.348
328	2044755.092
329	2042678.083
330	2041692.802
331	2040352.064
332	2039224.714
333	2038069.075
334	2036996.697
335	2035949.495
336	2035675.437
337	2034379.958
338	2033527.352
339	2032634.042
340	2031483.999
341	2029875.774
342	2029014.68
343	2027677.734
344	2026561.767
345	2025839.363
346	2025053.004
347	2023693.73
348	2022969.513
349	2022187.75
350	2020897.987
351	2019570.219
352	2019525.188
353	2019146.65
354	2017876.164
355	2017354.015
356	2016992.068
357	2016009.047
358	2015256.27
359	2014839.045
360	2013929.105
361	2012885.034
362	2011863.188
363	2011126.077
364	2010137.914
365	2009023.008
366	2008798.754
367	2007699.588
368	2007144.89
369	2005980.419
370	2005361.224
371	2004649.268
372	2003084.689
373	2002442.106
374	2001680.071
375	2000676.584
376	1999938.061
377	1998395.41
378	1997574.9
379	1996789.571
380	1996010.204
381	1995207.098
382	1993840.69
383	1993347.567
384	1992056.657
385	1991405.518
386	1989864.752
387	1988636.656
388	1987935.795
389	1986094.909
390	1985358.467
391	1984014.63
392	1983309.923
393	1983271.504
394	1982008.413
395	1981671.106
396	1980047.184
397	1979532.649
398	1978501.335
399	1977405.044
400	1976628.911
401	1975355.468
402	1974403.539
403	1974367.399
404	1973759.973
405	1972850.621
406	1971983.396
407	1970536.579
408	1969191.141
409	1968258.17
410	1967046.086
411	1965953.886
412	1965409.54
413	1964494.397
414	1963115.059
415	1961935.613
416	1961720.029
417	1961096.253
418	1960251.865
419	1959637.058
420	1958762.951
421	1957988.549
422	1956799.195
423	1956222.227
424	1956003.389
425	1955561.76
426	1954954.091
427	1954919.928
428	1953966.742
429	1953075.612
430	1952248.335
431	1951129.183
432	1950398.717
433	1949888.166
434	1948914.259
435	1948177.044
436	1947342.566
437	1947312.372
438	1946322.399
439	1945623.482
440	1944983.08
441	1944251.106
442	1943949.516
443	1942798.979
444	1942377.969
445	1941288.783
446	1940245.498
447	1939739.636
448	1938836.004
449	1938256.542
450	1936496.532
451	1935572.109
452	1934867.422
453	1933715.66
454	1933035.14
455	1932089.323
456	1931273.152
457	1930501.861
458	1930156.149
459	1929272.895
460	1928820.656
461	1928483.853
462	1927763.596
463	1927014.183
464	1926768.592
465	1926027.466
466	1924789.94
467	1923828.648
468	1923367.887
469	1922562.22
470	1921621.59
471	1920761.111
472	1919849.033
473	1919100.189
474	1918656.33
475	1917287.661
476	1916176.617
477	1915361.807
478	1914605.321
479	1913684.109
480	1913016.59
481	1912509.97
482	1911696.093
483	1910989.641
484	1910086.301
485	1909665.801
486	1908660.72
487	1908317.771
488	1907936.697
489	1907304.138
490	1907275.37
491	1905967.132
492	1905593.603
493	1904762.598
494	1903887.869
495	1903356.133
496	1902669.221
497	1901975.135
498	1901303.62
499	1900476.051
500	1900143.573
501	1898931.715
502	1898279.059
503	1897594.186
504	1896953.404
505	1896926.762
506	1896303.257
507	1895836.572
508	1895005.643
509	1894397.033
510	1893810.622
511	1893002.525
512	1892047.611
513	1890779.616
514	1889645.125
515	1888995.213
516	1888690.43
517	1887850.414
518	1887524.089
