iter	Passed	Remaining
0	68	68287
1	109	54830
2	153	51056
3	193	48125
4	236	47016
5	279	46223
6	322	45748
7	366	45429
8	406	44789
9	449	44537
10	493	44330
11	533	43911
12	577	43812
13	620	43687
14	664	43616
15	708	43569
16	750	43413
17	791	43207
18	835	43144
19	891	43691
20	932	43473
21	976	43420
22	1022	43437
23	1067	43426
24	1111	43361
25	1154	43238
26	1197	43142
27	1240	43058
28	1284	43015
29	1328	42952
30	1369	42822
31	1412	42730
32	1454	42628
33	1498	42563
34	1539	42442
35	1583	42407
36	1622	42222
37	1663	42112
38	1708	42102
39	1754	42107
40	1794	41981
41	1837	41911
42	1879	41821
43	1919	41715
44	1961	41629
45	2004	41561
46	2047	41508
47	2090	41466
48	2132	41392
49	2174	41309
50	2214	41205
51	2257	41162
52	2298	41077
53	2344	41065
54	2386	40999
55	2427	40920
56	2467	40829
57	2511	40783
58	2560	40841
59	2621	41077
60	2664	41019
61	2705	40932
62	2747	40870
63	2790	40814
64	2832	40743
65	2875	40686
66	2916	40613
67	2957	40533
68	2998	40459
69	3040	40389
70	3083	40343
71	3126	40296
72	3168	40232
73	3212	40193
74	3255	40156
75	3297	40090
76	3340	40039
77	3410	40315
78	3475	40520
79	3519	40471
80	3561	40412
81	3603	40345
82	3646	40287
83	3689	40231
84	3730	40157
85	3772	40091
86	3813	40024
87	3856	39967
88	3896	39882
89	3939	39829
90	3982	39777
91	4024	39721
92	4067	39673
93	4109	39610
94	4151	39552
95	4192	39475
96	4236	39438
97	4294	39526
98	4336	39467
99	4378	39406
100	4420	39347
101	4464	39302
102	4505	39241
103	4548	39186
104	4591	39135
105	4633	39075
106	4674	39009
107	4716	38955
108	4758	38900
109	4800	38840
110	4843	38793
111	4886	38742
112	4930	38698
113	4970	38627
114	5012	38571
115	5062	38580
116	5122	38662
117	5165	38612
118	5209	38570
119	5259	38572
120	5300	38503
121	5344	38460
122	5386	38407
123	5429	38356
124	5471	38302
125	5513	38243
126	5559	38215
127	5600	38150
128	5642	38099
129	5683	38037
130	5726	37985
131	5765	37912
132	5807	37860
133	5848	37794
134	5901	37810
135	5960	37866
136	6002	37814
137	6044	37754
138	6086	37702
139	6128	37646
140	6168	37578
141	6210	37525
142	6250	37460
143	6293	37411
144	6333	37348
145	6375	37295
146	6420	37256
147	6473	37268
148	6515	37211
149	6559	37169
150	6600	37110
151	6643	37066
152	6685	37009
153	6735	37002
154	6793	37038
155	6836	36988
156	6879	36938
157	6920	36877
158	6961	36820
159	7003	36770
160	7045	36713
161	7088	36666
162	7132	36625
163	7175	36578
164	7217	36524
165	7260	36477
166	7302	36424
167	7343	36370
168	7389	36332
169	7431	36285
170	7474	36233
171	7518	36191
172	7559	36135
173	7619	36168
174	7659	36107
175	7702	36064
176	7744	36009
177	7785	35955
178	7828	35907
179	7869	35851
180	7911	35797
181	7954	35751
182	7995	35694
183	8036	35638
184	8079	35594
185	8125	35559
186	8167	35507
187	8209	35456
188	8249	35399
189	8293	35355
190	8333	35298
191	8387	35297
192	8448	35326
193	8492	35283
194	8535	35236
195	8598	35272
196	8656	35283
197	8704	35258
198	8751	35226
199	8802	35210
200	8846	35166
201	8888	35112
202	8931	35065
203	8975	35022
204	9016	34966
205	9059	34917
206	9105	34882
207	9158	34874
208	9207	34847
209	9259	34832
210	9304	34793
211	9366	34815
212	9411	34774
213	9457	34738
214	9502	34695
215	9546	34651
216	9593	34617
217	9639	34578
218	9685	34539
219	9724	34478
220	9768	34432
221	9809	34375
222	9849	34319
223	9892	34271
224	9936	34226
225	9978	34173
226	10020	34123
227	10062	34070
228	10103	34017
229	10155	33997
230	10211	33994
231	10254	33946
232	10298	33900
233	10340	33848
234	10383	33800
235	10425	33749
236	10468	33702
237	10518	33675
238	10560	33624
239	10599	33564
240	10641	33513
241	10683	33463
242	10724	33410
243	10767	33361
244	10812	33319
245	10852	33262
246	10893	33209
247	10936	33162
248	10987	33140
249	11049	33147
250	11092	33101
251	11134	33049
252	11179	33008
253	11221	32956
254	11263	32907
255	11308	32865
256	11350	32815
257	11393	32766
258	11434	32715
259	11479	32672
260	11525	32633
261	11567	32582
262	11610	32537
263	11652	32484
264	11692	32430
