iter	Passed	Remaining
0	250	328405
1	337	221334
2	432	188758
3	531	173778
4	623	163012
5	712	155120
6	799	149031
7	899	146544
8	992	143699
9	1082	140991
10	1175	139025
11	1265	137145
12	1355	135427
13	1450	134458
14	1557	134654
15	1696	137377
16	1786	136051
17	1875	134834
18	1966	133848
19	2062	133232
20	2151	132262
21	2256	132323
22	2353	131903
23	2445	131257
24	2538	130700
25	2633	130246
26	2726	129760
27	2820	129323
28	2914	128957
29	3009	128592
30	3146	130034
31	3237	129505
32	3330	129075
33	3421	128600
34	3512	128162
35	3607	127869
36	3699	127486
37	3793	127192
38	3889	126970
39	3984	126707
40	4078	126419
41	4171	126140
42	4266	125914
43	4359	125639
44	4451	125345
45	4545	125101
46	4676	125857
47	4771	125649
48	4865	125419
49	4957	125128
50	5052	124918
51	5144	124645
52	5239	124461
53	5331	124201
54	5438	124300
55	5532	124079
56	5623	123807
57	5715	123569
58	5811	123412
59	5906	123258
60	6005	123156
61	6130	123604
62	6220	123318
63	6310	123048
64	6402	122832
65	6497	122659
66	6588	122430
67	6679	122198
68	6771	121980
69	6861	121749
70	6950	121479
71	7041	121262
72	7134	121096
73	7225	120877
74	7318	120707
75	7423	120734
76	7567	121381
77	7664	121261
78	7756	121064
79	7850	120902
80	7940	120669
81	8062	120943
82	8164	120887
83	8254	120676
84	8347	120501
85	8443	120364
86	8534	120170
87	8629	120030
88	8726	119922
89	8853	120216
90	8965	120299
91	9084	120466
92	9178	120307
93	9270	120127
94	9359	119894
95	9453	119738
96	9546	119581
97	9640	119420
98	9733	119254
99	9826	119095
100	9917	118910
101	10016	118828
102	10109	118665
103	10203	118519
104	10295	118350
105	10386	118172
106	10514	118411
107	10604	118225
108	10702	118121
109	10793	117939
110	10883	117752
111	10991	117766
112	11098	117766
113	11197	117672
114	11307	117695
115	11403	117570
116	11499	117453
117	11593	117310
118	11689	117190
119	11781	117027
120	11881	116951
121	12004	117094
122	12102	116987
123	12204	116927
124	12306	116858
125	12405	116767
126	12493	116568
127	12585	116413
128	12678	116266
129	12770	116115
